all genes,,,,,,,,,,,,,,,,,,,
BAC screening 1,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,output pool 1,,input pool 2,,output pool 2,,input pool 3,,output pool 3,,,,,,,,
A_07_P058864,1,0.7150758,2.0036557,1.199557,1,0.9501222,0.8976904,0.6777391,1,3.425919,1.768709,5.611539,hypothetical protein [ECs2017],ECs2017,hypothetical protein,,,917218,ECs2017
A_07_P058866,0.99999994,0.7811478,1.8221037,1.191659,1,1.291328,0.50905675,0.5223472,0.99999994,0.5869682,8.871229,4.822219,hypothetical protein [ECs2018],ECs2018,hypothetical protein,,,917221,ECs2018
A_07_P054232,1,0.6994845,1.7499955,1.024851,1,2.544825,0.25376403,0.5131503,1,0.516462,9.283572,4.440195,hypothetical protein [ECs2019],ECs2019,hypothetical protein,,,917227,ECs2019
A_07_P054237,1,647.4052,1.5576354,844.2822,1,764.4098,1.3290199,807.2615,1,671.0028,1.4595995,906.9985,ribosomal-protein-serine N-acetyltransferase [ECs2032],ECs2032,ribosomal-protein-serine N-acetyltransferase,,,917236,ECs2032
A_07_P063179,1,2678.849,1.4290017,3204.99,1,2804.323,1.3608701,3032.503,1,2604.3,1.3063225,3150.576,hypothetical protein [ECs2033],ECs2033,hypothetical protein,,,917230,ECs2033
A_07_P063185,1,2530.991,1.3982844,2963.001,1,2655.138,1.3385866,2824.165,1,2323.743,1.3147045,2829.207,hypothetical protein [ECs2037],ECs2037,hypothetical protein,,,917235,ECs2037
A_07_P054243,1,2085.674,1.7596544,3072.695,1,2586.812,1.318658,2710.526,1,2194.496,1.5712802,3193.28,hypothetical protein [ECs2038],ECs2038,hypothetical protein,,,917231,ECs2038
A_07_P054247,1,824.6357,1.3483204,930.8954,1,783.8373,1.3047451,812.6585,0.99999994,593.0386,1.5271864,838.7326,putative transport protein [ECs2044],ECs2044,putative transport protein,,,917240,ECs2044
A_07_P058915,1,180.9194,1.8485548,280.0033,0.99999994,222.2214,1.7202548,303.7632,1,171.4461,2.1425867,340.1845,hypothetical protein [ECs2049],ECs2049,hypothetical protein,,,917254,ECs2049
A_07_P054255,1,2715.745,1.5249113,3467.203,1,2899.503,1.365541,3146.189,1,2709.867,1.3324605,3343.881,L-asparagine permease [ECs2057],ECs2057,L-asparagine permease,,,917257,ECs2057
A_07_P054256,1,3232.475,1.351764,3658.32,1,3101.181,1.3853732,3413.897,1,2778.971,1.2153479,3127.758,hypothetical protein [ECs2059],ECs2059,hypothetical protein,,,917258,ECs2059
A_07_P054262,1,0.612026,0.79701203,0.408395,1,0.8959223,0.79457104,0.5656654,1,8.850827,0.6060565,4.967587,VgrE protein [ECs2060],ECs2060,VgrE,,,917261,ECs2060
A_07_P054269,1,8.21437,0.12465126,0.857268,1,9.904919,0.062029045,0.4882053,1,15.98415,0.2920205,4.322664,RhsE core protein with extension [ECs2061],ECs2061,RhsE,,,917262,ECs2061
A_07_P054279,1,625.9078,1.2769,669.1337,1,637.37787,1.2507871,633.48584,1,541.0225,1.4105979,706.75214,cryptic nitrate reductase 2 delta subunit [ECs2069],ECs2069,cryptic nitrate reductase 2 delta subunit,,,917271,ECs2069
A_07_P054282,0.99999994,28.56568,0.15773328,3.772364,1,37.13435,0.04050392,1.195169,1,26.8133,0.18593338,4.61696,hypothetical protein [ECs2074],ECs2074,hypothetical protein,,,917272,ECs2074
A_07_P054288,0.99999994,36.22691,0.1384428,4.199014,1,47.67792,0.013896599,0.5264807,1,30.62875,0.30579937,8.673901,IpaH-like protein [ECs2075],ECs2075,IpaH-like protein,,,917281,ECs2075
A_07_P063188,1,2070.963,1.35938,2356.996,1,2342.922,1.1838504,2203.998,1,1947.33,1.2709882,2292.079,hypothetical protein [ECs2077],ECs2077,hypothetical protein,,,917278,ECs2077
A_07_P058916,0.99999994,1563.845,1.2931186,1693.081,1,1626.899,1.1654117,1506.595,1,1394.523,1.2807751,1654.044,hypothetical protein [ECs2081],ECs2081,hypothetical protein,,,917287,ECs2081
A_07_P058923,1,3464.473,1.2493342,3623.777,1,3463.404,1.2769338,3514.213,1,2690.817,1.299607,3238.506,hypothetical protein [ECs2085],ECs2085,biofilm-dependent modulation protein,,,917280,ECs2085
A_07_P054294,1,2082.568,1.3898325,2423.301,1,2316.145,1.2491273,2298.947,1,2290.204,1.2849332,2725.231,oxygen sensing protein [ECs2094],,,,,,ECs2094
A_07_P054299,1,3187.561,1.0716816,2860.026,1,3307.536,1.1855322,3115.835,1,3072.527,0.92972356,2645.441,glutamate decarboxylase isozyme [ECs2098],ECs2098,glutamate decarboxylase isozyme,,,917300,ECs2098
A_07_P054304,1,2976.941,1.4495224,3612.774,1,3028.27,1.3438852,3233.801,1,2703.231,1.1627284,2910.784,hypothetical protein [ECs2100],ECs2100,hypothetical protein,,,917306,ECs2100
A_07_P054307,1,2921.598,1.0760869,2632.167,0.99999994,2756.568,1.221065,2674.632,1,2339.761,1.3185823,2857.112,hypothetical protein [ECs2111],,,,,,ECs2111
A_07_P054315,1,125.2346,0.023287337,2.441686,1,135.8205,0.025859026,2.790834,1,201.7266,3.1303506,584.7963,putative fimbrial chaperone protein precursor [ECs2112],ECs2112,putative fimbrial chaperone protein precursor,,,917313,ECs2112
A_07_P054316,1,77.18487,0.038936056,2.516111,1,93.72166,0.032991465,2.45696,0.99999994,137.1767,3.551304,451.1456,putative type 1 fimbrial protein precursor [ECs2113],ECs2113,putative type 1 fimbrial protein precursor,,,917311,ECs2113
A_07_P054324,1,2790.021,1.1387718,2660.05,1,2798.653,1.1330689,2519.776,1,2974.762,0.82904387,2283.906,hypothetical protein [ECs2114],,,,,,ECs2114
A_07_P054329,1,678.2912,1.0451783,593.543,1,684.5741,1.0347599,562.881,1,673.5501,0.9597807,598.674,putative SORC-type transcriptional regulator [ECs2119],ECs2119,putative SORC-type transcriptional regulator,,,917323,ECs2119
A_07_P063195,1,1591.44,1.215485,1619.517,1,1556.191,1.1593801,1433.657,1,1323.556,1.1982137,1468.673,altronate oxidoreductase [ECs2128],ECs2128,altronate oxidoreductase,,,917329,ECs2128
A_07_P054332,1,2218.287,1.3704336,2545.197,0.99999994,2205.841,1.2564309,2202.264,1,2179.125,1.1949937,2411.55,putative transcriptional regulator LYSR-type [ECs2133],ECs2133,putative transcriptional regulator LYSR-type,,,917333,ECs2133
A_07_P054336,0.99999994,1385.498,1.1095817,1287.096,1,1405.951,1.1448079,1278.967,1,1253.92,0.9775581,1135.17,hypothetical protein [ECs2134],ECs2134,hypothetical protein,,,917337,ECs2134
A_07_P054344,1,3711.497,1.2506952,3886.389,1,3595.545,1.2373565,3535.217,1,3643.985,1.0681839,3604.717,hypothetical protein [ECs2136],ECs2136,multiple drug resistance protein MarC,,,917334,ECs2136
A_07_P054346,1,677.6268,1.2376696,702.1678,1,717.7348,1.1266631,642.5614,1,757.784,1.1199793,785.9664,multiple antibiotic resistance protein [ECs2139],ECs2139,hypothetical protein,,,917340,ECs2139
A_07_P054352,1,1222.267,1.0847558,1110.053,1,1157.915,1.0658863,980.7179,1,1432.694,0.84436554,1120.295,efflux pump for cysteine biosynthetic pathway intermediates [ECs2140],ECs2140,O-acetylserine/cysteine export protein,,,917338,ECs2140
A_07_P054359,1,87.14304,0.032318175,2.357899,1,99.68508,0.04918803,3.896244,1,117.9514,0.09920559,10.83647,hypothetical protein [ECs2142],ECs2142,hypothetical protein,,,917345,ECs2142
A_07_P054361,1,23.44748,0.017275862,0.339142,1,30.71229,0.052364618,1.277929,1,28.49139,0.14072521,3.713078,putative transcriptional regulator [ECs2143],ftrA,transcriptional activator FtrA,,,917341,ECs2143
A_07_P054370,1,2291.212,1.2163604,2333.314,1,2351.273,1.2083893,2257.701,0.99999994,2051.734,1.1344608,2155.555,putative oxidoreductase [ECs2151],ECs2151,putative oxidoreductase,,,917357,ECs2151
A_07_P054371,1,26.98522,0.68516755,15.47991,1,53.64174,0.13866255,5.910423,1,40.95303,0.12479891,4.733096,putative damage-inducible protein [ECs2153],ECs2153,putative damage-inducible protein,,,917347,ECs2153
A_07_P054377,1,29.82681,0.23829685,5.950737,1,37.69275,0.018105725,0.5422883,1,44.84099,0.11267244,4.678874,hypothetical protein [ECs2154],ECs2154,hypothetical protein,,,917352,ECs2154
A_07_P054381,1,75.25913,2.5056033,157.8764,1,97.13733,0.29829958,23.02477,1,108.2835,0.04628283,4.641205,hypothetical protein [ECs2155],ECs2155,hypothetical protein,,,917353,ECs2155
A_07_P054387,0.99999994,84.38546,1.068184,75.4674,1,90.00812,2.2609034,161.7038,1,115.3224,2.0544558,219.4113,hypothetical protein [ECs2156],ECs2156,hypothetical protein,,,917360,ECs2156
A_07_P054392,1,230.6562,1.5508581,299.4904,1,212.5343,0.9733363,164.3798,1,278.306,0.60710466,156.4713,hypothetical protein [ECs2157],ECs2157,hypothetical protein,,,917354,ECs2157
A_07_P054398,1,370.701,1.435466,445.515,1,269.2648,1.8884029,404.046,1,338.7846,1.0251262,321.6248,putative tail fiber protein [ECs2158],,,,,,ECs2158
A_07_P054401,1,68.70088,0.9933872,57.1382,0.99999994,105.2419,1.7286514,144.5615,1,111.842,1.6066576,166.409,putative tail fiber protein [ECs2159],ECs2159,putative tail fiber protein,,,917361,ECs2159
A_07_P054406,1,61.58049,0.6901348,35.58138,1,96.92822,0.6730443,51.83827,1,118.9293,0.6286763,69.24118,putative outer host membrane protein precursor [ECs2160],ECs2160,putative outer host membrane protein precursor,,,917374,ECs2160
A_07_P054412,1,21.80595,1.1249313,20.53746,1,37.06511,0.5196541,15.3051,1,39.35502,0.10711563,3.903925,putative host specificity protein [ECs2161],ECs2161,putative host specificity protein,,,917358,ECs2161
A_07_P054416,1,152.5034,1.0605356,135.4099,1,231.315,0.51389086,94.45637,1,342.0252,0.107579485,34.07502,putative tail assembly protein [ECs2162],ECs2162,putative tail assembly protein,,,917359,ECs2162
A_07_P054424,1,186.5725,0.6418583,100.2611,1,148.7294,0.5273872,62.32796,1,268.3388,1.86145,462.5763,putative minor tail protein [ECs2164],ECs2164,putative minor tail protein,,,917364,ECs2164
A_07_P054426,1,111.0563,1.112398,103.4306,1,163.6051,0.55704933,72.41808,1,187.9213,0.14293621,24.87521,putative minor tail protein [ECs2165],ECs2165,putative minor tail protein,,,917371,ECs2165
A_07_P054431,1,50.66331,1.2219636,51.83195,0.99999994,70.32059,0.70048994,39.14181,1,93.23957,0.20017855,17.28488,putative tail length tape measure protein precursor [ECs2166],ECs2166,putative tail length tape measure protein precursor,,,917365,ECs2166
A_07_P054439,1,56.82745,1.2538723,59.65641,0.99999994,70.84049,0.25273752,14.22682,1,92.92955,0.16695848,14.36848,putative minor tail protein [ECs2167],ECs2167,putative minor tail protein,,,917366,ECs2167
A_07_P054441,1,91.42478,1.1522455,88.19717,1,149.0362,0.21273631,25.19358,1,151.6095,0.033407148,4.690448,minor tail protein [ECs2168],ECs2168,minor tail protein,,,917370,ECs2168
A_07_P054447,1,159.5643,1.09604,146.4225,1,202.0166,0.62007844,99.53831,1,289.1172,0.17820238,47.71292,hypothetical protein [ECs2169],ECs2169,hypothetical protein,,,917367,ECs2169
A_07_P054455,1,104.5563,1.1397979,99.77545,1,128.31,0.06529288,6.657065,1,136.5202,0.107429154,13.58212,putative minor tail protein [ECs2170],ECs2170,putative minor tail protein,,,917369,ECs2170
A_07_P054460,1,56.51651,1.4063228,66.54356,1,66.54774,0.1454102,7.689263,1,83.45228,0.78452456,60.6308,putative minor tail protein [ECs2171],ECs2171,putative minor tail protein,,,917373,ECs2171
A_07_P054461,1,218.7942,0.8795432,161.116,1,478.3259,0.08445794,32.10117,1,637.6646,0.039063264,23.06797,putative tail attachment protein [ECs2172],ECs2172,putative tail attachment protein,,,917368,ECs2172
A_07_P054468,1,136.0554,0.9589184,109.2303,1,333.1844,0.16399096,43.41712,1,415.7967,0.09600428,36.9675,putative portal protein [ECs2177],ECs2177,putative portal protein,,,917381,ECs2177
A_07_P054472,1,348.5554,0.956399,279.0979,0.99999994,686.8814,0.31902492,174.1257,1,593.5413,0.294476,161.8637,putative terminase large subunit [ECs2179],ECs2179,putative terminase large subunit,,,917377,ECs2179
A_07_P054478,0.99999994,35.89858,1.3371633,40.18902,1,50.01141,0.0774957,3.079663,1,52.70829,0.103709266,5.062267,putative terminase small subunit [ECs2180],ECs2180,putative terminase small subunit,,,917376,ECs2180
A_07_P054483,1,205.5688,0.72122955,124.1299,0.99999994,284.1184,0.7961441,179.7412,1,350.2525,0.4323557,140.2397,hypothetical protein [ECs2181],ECs2181,hypothetical protein,,,917379,ECs2181
A_07_P054486,1,80.0267,0.8722859,58.44393,0.99999994,127.4284,0.48863104,49.47705,0.99999994,164.5176,0.16580912,25.26209,putative transcriptional regulator [ECs2182],ECs2182,putative transcriptional regulator,,,917380,ECs2182
A_07_P054491,1,1660.68,1.0487243,1458.119,1,1809.056,1.1014764,1583.375,1,1896.166,0.93716145,1645.657,putative lipoprotein Rz1 precursor [ECs2183],ECs2183,putative lipoprotein Rz1 precursor,,,917386,ECs2183
A_07_P054498,1,1734.575,1.102171,1600.618,1,1848.095,0.99458903,1460.577,1,1982.891,0.6939411,1274.295,putative endopeptidase [ECs2184],ECs2184,putative endopeptidase,,,917385,ECs2184
A_07_P054501,1,809.8457,0.8215472,557.0325,0.99999994,819.7396,1.5265157,994.3373,1,1066.981,1.5563533,1537.848,putative endolysin [ECs2186],ECs2186,putative endolysin,,,917387,ECs2186
A_07_P054506,1,503.1923,1.1355214,478.3821,1,452.889,2.1055632,757.7337,1,949.1441,1.939006,1704.354,hypothetical protein [ECs2187],ECs2187,hypothetical protein,,,917391,ECs2187
A_07_P054511,0.99999994,730.2393,1.3156222,804.3445,0.99999994,668.4613,2.0525477,1090.25,1,677.1383,1.5507411,972.4454,putative holin protein [ECs2188],ECs2188,putative holin protein,,,917389,ECs2188
A_07_P054516,1,128.3269,0.40549663,43.56629,1,155.911,0.5043471,62.48313,0.99999994,291.8975,1.6359003,442.2173,hypothetical protein [ECs2190],ECs2190,hypothetical protein,,,917393,ECs2190
A_07_P054523,1,0.73659426,0.7510562,0.46317643,1,1.3217142,0.5721287,0.6008801,0.99999994,1.1921198,8.463076,9.343222,putative transcriptional regulator [ECs2191],ECs2191,putative transcriptional regulator,,,917394,ECs2191
A_07_P054528,1,24.2535,0.06932132,1.407625,1,50.48558,13.151514,527.5937,1,33.59143,16.38884,509.8298,hypothetical protein [ECs2192],ECs2192,hypothetical protein,,,917395,ECs2192
A_07_P054531,0.99999994,68.2445,1.0671704,60.97434,1,30.86123,0.022613684,0.5545504,0.99999994,50.15437,0.49756598,23.11043,putative ante-terminator protein [ECs2193],ECs2193,putative ante-terminator protein,,,917398,ECs2193
A_07_P054538,1,29.65827,0.17471904,4.338421,1,49.28683,0.5657492,22.15702,0.99999994,81.07361,0.9919198,74.47399,putative crossover junction endodeoxyribonuclease [ECs2194],ECs2194,putative crossover junction endodeoxyribonuclease,,,917400,ECs2194
A_07_P054542,1,381.0019,1.4078122,449.0736,1,318.3967,1.6859704,426.555,1,343.9406,1.3062471,416.0613,hypothetical protein [ECs2195],ECs2195,hypothetical protein,,,917396,ECs2195
A_07_P054550,1,0.6821704,0.7665934,0.4378281,0.99999994,0.8855391,0.71721107,0.5046744,1,0.515203,10.205346,4.869167,hypothetical protein [ECs2196],ECs2196,hypothetical protein,,,917399,ECs2196
A_07_P054551,1,51.06382,1.347847,57.62349,1,25.06215,3.4001248,67.71263,0.99999994,0.5752867,11.3342705,6.038464,hypothetical protein [ECs2197],ECs2197,hypothetical protein,,,917401,ECs2197
A_07_P054557,1,2.121065,1.1554035,2.051792,1,3.45318,0.7031021,1.929275,1,1.399938,2.998648,3.887611,hypothetical protein [ECs2199],ECs2199,hypothetical protein,,,917406,ECs2199
A_07_P054563,0.99999994,1.23323,2.9909396,3.088143,1,1.95868,0.39275533,0.6112827,1,0.5372842,9.337416,4.646001,hypothetical protein [ECs2200],ECs2200,hypothetical protein,,,917403,ECs2200
A_07_P054567,0.99999994,0.7063891,0.79644006,0.4710237,1,0.9806023,0.72264373,0.5630846,0.99999994,0.5750328,9.380752,4.995498,hypothetical protein [ECs2201],ECs2201,hypothetical protein,,,917411,ECs2201
A_07_P054572,1,1.280115,1.490295,1.597228,1,1.797809,0.41334432,0.5904893,1,8.89065,0.6308995,5.194481,hypothetical protein [ECs2202],ECs2202,hypothetical protein,,,917404,ECs2202
A_07_P054578,1,1.373124,1.2052046,1.385531,0.99999994,2.759811,0.20816387,0.4565005,1,0.7596239,6.0996823,4.290959,hypothetical protein [ECs2203],ECs2203,hypothetical protein,,,917407,ECs2203
A_07_P054581,1,43.39581,0.44386286,16.12658,0.99999994,69.28992,0.53680885,29.55604,1,74.53542,1.9306804,133.2667,hypothetical protein [ECs2204],ECs2204,hypothetical protein,,,917405,ECs2204
A_07_P054591,1,20.43888,0.27377668,4.684888,1,29.78769,0.5374509,12.72132,1,47.24773,1.7593215,76.97943,hypothetical protein [ECs2206],ECs2206,hypothetical protein,,,917408,ECs2206
A_07_P054598,0.99999994,5.367921,0.43268982,1.944592,1,7.661586,0.23356721,1.421959,1,7.889225,1.7087897,12.48451,hypothetical protein [ECs2207],ECs2207,hypothetical protein,,,917409,ECs2207
A_07_P054605,1,0.5846056,0.8794267,0.4304357,1,0.8134927,0.6661145,0.4305852,0.99999994,1.43045,11.191488,14.82549,putative regulatory protein [ECs2208],ECs2208,putative regulatory protein,,,917412,ECs2208
A_07_P054609,1,0.7247253,0.8172927,0.495903,1,1.001134,0.7394743,0.5882634,1,0.6363442,8.840235,5.209601,putative repressor protein [ECs2209],ECs2209,putative repressor protein,,,917413,ECs2209
A_07_P054615,1,2475.626,1.3100846,2715.376,1,2398.835,1.3082639,2493.746,1,2222.677,1.2828866,2640.664,hypothetical protein [ECs2210],ECs2210,hypothetical protein,,,917415,ECs2210
A_07_P054616,1,0.7256992,0.78629905,0.4777383,1,0.9432702,0.7352622,0.5511057,0.99999994,0.555459,10.909174,5.611674,hypothetical protein [ECs2211],ECs2211,hypothetical protein,,,917417,ECs2211
A_07_P054623,1,1.3594418,1.8004534,2.049218,1,2.5835583,0.594406,1.2202758,1,1.3264402,5.1825256,6.3661613,hypothetical protein [ECs2212],ECs2212,hypothetical protein,,,917414,ECs2212
A_07_P054626,1,1512.12,1.3393987,1695.672,1,1485.985,1.4000005,1653.1,1,1350.017,1.3677465,1709.989,hypothetical protein [ECs2213],ECs2213,hypothetical protein,,,917416,ECs2213
A_07_P054633,1,2.124718,2.5145812,4.473141,1,5.443386,1.3054899,5.646758,1,4.964679,2.361871,10.85915,putative cell division inhibitor [ECs2214],ECs2214,putative cell division inhibitor,,,917423,ECs2214
A_07_P054637,1,58.98315,0.16486375,8.141395,1,127.3004,1.0516392,106.3783,0.99999994,234.9312,0.8974062,195.2443,hypothetical protein [ECs2215],ECs2215,hypothetical protein,,,917421,ECs2215
A_07_P054644,1,2.544319,2.0058413,4.272812,1,6.572869,1.0603055,5.537867,1,4.099443,1.8180267,6.901979,putative exonuclease [ECs2216],,,,,,ECs2216
A_07_P054646,1,101.6637,0.118333004,10.07204,1,120.3166,0.13415109,12.82556,1,130.9313,0.6558729,79.52647,hypothetical protein [ECs2218],ECs2218,hypothetical protein,,,917424,ECs2218
A_07_P054655,1,0.6274944,3.6529174,1.91909,1,1.573908,5.700664,7.129536,1,0.4894168,65.897896,29.86751,putative transposase [ECs2221],ECs2221,putative transposase,,,917425,ECs2221
A_07_P054656,1,2.936981,1.4277912,3.510844,1,4.61124,1.012795,3.711041,1,2.106092,4.832859,9.426056,putative transposase [ECs2225],,,,,,ECs2225
A_07_P054663,1,0.6166721,0.76128924,0.3930517,1,1.293586,0.72011375,0.7402066,1,0.5646271,7.9611883,4.162825,hypothetical protein [ECs2226],ECs2226,hypothetical protein,,,917435,ECs2226
A_07_P054669,1,0.6028394,0.75029206,0.3786846,1,0.8348357,0.6779033,0.4497025,1,0.4597279,9.96825,4.243931,hypothetical protein [ECs2227],ECs2227,hypothetical protein,,,917431,ECs2227
A_07_P054674,1,0.7294326,0.8003688,0.4887885,1,1.482537,0.4749964,0.5595674,1,0.5285731,11.238058,5.50104,hypothetical protein [ECs2229],,,,,,ECs2229
A_07_P054690,1,29.07416,0.75550306,18.39031,1,44.23051,7.6328235,268.2648,1,28.69507,15.173841,403.2286,putative host specificity protein [ECs2233],,,,,,ECs2233
A_07_P054691,1,12.19716,0.6330149,6.464253,1,38.96453,5.965793,184.7116,1,37.2682,5.8530188,202.0072,putative host specificity protein [ECs2234],,,,,,ECs2234
A_07_P054700,1,33.10133,0.83776915,23.2175,1,47.05185,2.9783366,111.3543,1,68.56569,2.0824564,132.2304,putative host specificity protein [ECs2235],,,,,,ECs2235
A_07_P054701,1,35.735,0.89462245,26.76574,0.99999994,64.1278,0.366063,18.65343,1,79.17706,0.14214946,10.42301,putative tail assembly protein [ECs2236],ECs2236,putative tail assembly protein,,,917442,ECs2236
A_07_P054710,0.99999994,206.3824,0.6739434,116.4506,0.99999994,215.995,0.34828562,59.77722,1,382.4952,1.7981545,636.9444,putative tail assembly protein [ECs2237],ECs2237,putative tail assembly protein,,,917441,ECs2237
A_07_P054712,1,124.2066,0.5486646,57.05547,1,121.9811,0.30556044,29.61735,1,195.0264,2.309646,417.1453,minor tail protein [ECs2238],ECs2238,minor tail protein,,,917443,ECs2238
A_07_P054717,1,96.75923,0.3542424,28.69714,1,48.71637,4.264445,165.0798,1,118.1741,6.66545,729.458,putative minor tail protein [ECs2239],ECs2239,putative minor tail protein,,,917444,ECs2239
A_07_P054724,1,137.3288,0.31854117,36.6246,1,106.2018,6.8767037,580.3216,0.99999994,185.6706,7.0319414,1209.113,putative tail length tape measure protein [ECs2240],ECs2240,putative tail length tape measure protein,,,917445,ECs2240
A_07_P054726,1,47.38312,0.48415944,19.20692,0.99999994,40.51604,6.3733444,205.1875,1,137.3474,5.179425,658.7953,putative tail protein [ECs2241],ECs2241,putative tail protein,,,917450,ECs2241
A_07_P054733,1,76.00633,0.32462397,20.65742,1,52.27296,5.1842756,215.3385,0.99999994,96.92209,7.8947077,708.6101,putative major tail subunit [ECs2243],ECs2243,putative major tail subunit,,,917446,ECs2243
A_07_P054736,1,75.85553,0.32503507,20.64254,1,62.71837,6.367192,317.3213,1,130.784,7.9500184,962.8779,hypothetical protein [ECs2244],ECs2244,hypothetical protein,,,917448,ECs2244
A_07_P054748,0.99999994,226.465,0.87684375,166.2528,1,205.6847,0.34290168,56.04387,1,344.7744,2.4442248,780.4134,hypothetical protein [ECs2264],ECs2264,hypothetical protein,,,917468,ECs2264
A_07_P054753,0.99999994,78.75791,0.97401166,64.22499,1,118.9468,3.410797,322.3778,1,199.8977,3.1480894,582.7783,hypothetical protein [ECs2266],,,,,,ECs2266
A_07_P054757,1,29.5252,0.14508633,3.586452,1,75.26716,0.57021195,34.10345,1,100.057,1.0116961,93.74456,putative antitermination protein [ECs2267],ECs2267,putative antitermination protein,,,917138,ECs2267
A_07_P054762,1,1.979017,0.9228209,1.529018,1,6.842454,0.17453164,0.9489484,1,21.11178,0.49593475,9.696118,putative crossover junction endodeoxyribonuclease [ECs2268],ECs2268,putative crossover junction endodeoxyribonuclease,,,912470,ECs2268
A_07_P054767,1,63.52014,0.26149264,13.90646,0.99999994,36.52641,0.21938375,6.367485,1,77.4349,3.1277528,224.294,hypothetical protein [ECs2269],ECs2269,hypothetical protein,,,913934,ECs2269
A_07_P054771,1,11.93787,0.16429555,1.642095,0.99999994,10.30459,0.2937997,2.405684,1,18.69911,2.1663756,37.51485,hypothetical protein [ECs2270],ECs2270,hypothetical protein,,,912700,ECs2270
A_07_P054780,1,24.88765,0.618264,12.8826,1,13.33408,1.8888716,20.01345,1,25.92004,1.9770628,47.45748,hypothetical protein [ECs2272],ECs2272,hypothetical protein,,,912559,ECs2272
A_07_P054785,1,27.56697,0.020311108,0.4687792,1,0.9566479,0.71734047,0.5452981,1,39.51309,1.2802062,46.84567,hypothetical protein [ECs2273],ECs2273,hypothetical protein,,,912391,ECs2273
A_07_P054790,0.99999994,704.9206,1.1049746,652.136,0.99999994,552.2943,1.3686453,600.6452,1,670.9584,1.1512405,715.3361,hypothetical protein [ECs2274],ECs2274,hypothetical protein,,,912704,ECs2274
A_07_P054794,0.99999994,14.57776,0.038091112,0.4649006,1,0.9020427,1.1715195,0.8397174,1,24.059,0.98645055,21.97867,putative DNA replication protein [ECs2275],ECs2275,putative replication protein,,,913391,ECs2275
A_07_P054800,1,88.55018,1.4560283,107.9456,1,66.67569,2.1217303,112.4124,1,95.18369,2.0724359,182.6805,putative replication protein [ECs2276],ECs2276,putative replication protein,,,913424,ECs2276
A_07_P054803,1,0.6518214,6.1372905,3.349276,1,2.052973,2.0442502,3.334831,0.99999994,0.5389341,14.751816,7.362574,hypothetical protein [ECs2277],ECs2277,hypothetical protein,,,914073,ECs2277
A_07_P054808,1,0.7536145,0.7979907,0.5034922,1,0.9821084,0.75484276,0.5890775,1,0.5769109,9.841254,5.257845,hypothetical protein [ECs2278],ECs2278,hypothetical protein,,,912332,ECs2278
A_07_P054811,1,1.217411,1.7100978,1.743026,1,1.555808,0.9863334,1.219372,1,1.778905,2.9592547,4.875101,hypothetical protein [ECs2279],ECs2279,hypothetical protein,,,912342,ECs2279
A_07_P054816,0.99999994,3.563198,0.60234094,1.796917,1,4.477437,0.601674,2.140658,1,2.238966,4.962108,10.28874,hypothetical protein [ECs2280],ECs2280,hypothetical protein,,,914005,ECs2280
A_07_P054822,0.99999994,0.6637728,0.7889259,0.4384311,1,0.7930359,0.8671656,0.5464513,1,0.5432967,9.226398,4.642135,hypothetical protein [ECs2281],ECs2281,hypothetical protein,,,913909,ECs2281
A_07_P054828,1,835.8678,1.0581689,740.5225,0.99999994,604.0323,1.5163673,727.8152,1,671.558,1.1713781,728.4993,hypothetical protein [ECs2282],ECs2282,hypothetical protein,,,912398,ECs2282
A_07_P054834,1,35.76821,0.14724235,4.409361,1,10.54406,0.05978324,0.5008917,0.99999994,9.838035,1.1469334,10.44949,hypothetical protein [ECs2283],ECs2283,hypothetical protein,,,912356,ECs2283
A_07_P054838,1,2003.389,1.495815,2508.932,1,2160.939,1.292608,2219.555,0.99999994,2127.449,1.1486899,2263.135,inhibitor of cell division [ECs2284],ECs2284,inhibitor of cell division,,,914132,ECs2284
A_07_P054841,1,1755.138,1.275371,1874.103,1,1626.665,1.3810576,1785.116,1,1453.781,1.2928659,1740.608,hypothetical protein [ECs2285],ECs2285,hypothetical protein,,,912445,ECs2285
A_07_P054850,1,1.700631,0.9170864,1.305768,1,2.8716,0.56129354,1.280768,1,0.8092406,5.2093096,3.903969,hypothetical protein [ECs2286],ECs2286,hypothetical protein,,,914232,ECs2286
A_07_P054851,1,0.5677843,0.77218646,0.367072,1,0.7650515,0.71405804,0.4340909,0.99999994,0.6273036,6.850632,3.979761,excisionase [ECs2287],ECs2287,excisionase,,,912393,ECs2287
A_07_P062787,1,2624.177,1.3946114,3064.023,1,2558.206,1.3968817,2839.564,1,2422.469,1.2092141,2712.751,hypothetical protein [ECs2291],ECs2291,hypothetical protein,,,912661,ECs2291
A_07_P054856,1,1305.569,1.4227049,1555.107,1,1362.361,1.328255,1437.905,1,1135.765,1.2169592,1280.009,putative oxidoreductase component [ECs2297],ECs2297,twin-argninine leader-binding protein DmsD,,,912340,ECs2297
A_07_P054863,1,2325.841,1.2149644,2365.861,1,1941.904,1.4238588,2197.107,1,1642.492,1.3578395,2065.381,hypothetical protein [ECs2304],ECs2304,hypothetical protein,,,913241,ECs2304
A_07_P054868,1,1654.065,1.292092,1789.335,1,1401.623,1.4329517,1595.95,1,1418.73,1.1226909,1475.056,possible chaperone [ECs2306],ECs2306,multidrug efflux system protein MdtJ,,,913399,ECs2306
