gi|38704121|ref|NP_311708.2|	hypothetical protein ECs3681	ECs3681	NA
gi|15833799|ref|NP_312572.1|	hypothetical protein ECs4545	ECs4545	NA
gi|15832765|ref|NP_311538.1|	hypothetical protein ECs3511	ECs3511	NA
gi|38704147|ref|NP_312087.2|	transcription elongation factor GreA	ECs4060	greA
gi|15833908|ref|NP_312681.1|	hypothetical protein ECs4654	ECs4654	NA
gi|38704146|ref|NP_312083.2|	dihydropteroate synthase	ECs4056	folP
gi|15834596|ref|NP_313369.1|	phosphopentomutase	ECs5342	NA
gi|15833158|ref|NP_311931.1|	hypothetical protein ECs3904	ECs3904	NA
gi|15833159|ref|NP_311932.1|	hypothetical protein ECs3905	ECs3905	NA
gi|15833156|ref|NP_311929.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase	ECs3902	NA
gi|15833157|ref|NP_311930.1|	DNA topoisomerase IV subunit A	ECs3903	NA
gi|15833154|ref|NP_311927.1|	hypothetical protein ECs3900	ECs3900	NA
gi|15833155|ref|NP_311928.1|	repressor protein for FtsI	ECs3901	NA
gi|15833152|ref|NP_311925.1|	hypothetical protein ECs3898	ECs3898	NA
gi|15833153|ref|NP_311926.1|	outer membrane lipoprotein	ECs3899	NA
gi|15833151|ref|NP_311924.1|	hypothetical protein ECs3897	ECs3897	NA
gi|15830922|ref|NP_309695.1|	cell division topological specificity factor MinE	ECs1668	minE
gi|38704143|ref|NP_312038.2|	PTS system N-acetylgalactosamine-specific transporter subunit IIB	ECs4011	NA
gi|15830923|ref|NP_309696.1|	cell division inhibitor MinD	ECs1669	NA
gi|15834458|ref|NP_313231.1|	inorganic pyrophosphatase	ECs5204	NA
gi|38704142|ref|NP_312029.2|	glycerate kinase	ECs4002	NA
gi|15830920|ref|NP_309693.1|	transposase	ECs1666	NA
gi|38704224|ref|NP_313031.2|	sor-operon regulator	ECs5004	NA
gi|15830921|ref|NP_309694.1|	hypothetical protein ECs1667	ECs1667	NA
gi|15831691|ref|NP_310464.1|	cell division modulator	ECs2437	NA
gi|15834022|ref|NP_312795.1|	twin-arginine protein translocation system subunit TatC	ECs4768	NA
gi|15831837|ref|NP_310610.1|	cytochrome C-type protein	ECs2583	NA
gi|15830926|ref|NP_309699.1|	hypothetical protein ECs1672	ECs1672	NA
gi|15831835|ref|NP_310608.1|	hypothetical protein ECs2581	ECs2581	NA
gi|15831834|ref|NP_310607.1|	hypothetical protein ECs2580	ECs2580	NA
gi|15831832|ref|NP_310605.1|	hypothetical protein ECs2578	ECs2578	NA
gi|15833470|ref|NP_312243.1|	nitrite reductase (NAD(P)H) subunit	ECs4216	NA
gi|15830927|ref|NP_309700.1|	hypothetical protein ECs1673	ECs1673	NA
gi|15830834|ref|NP_309607.1|	hypothetical protein ECs1580	ECs1580	NA
gi|15830835|ref|NP_309608.1|	hypothetical protein ECs1581	ECs1581	NA
gi|15830836|ref|NP_309609.1|	hypothetical protein ECs1582, partial	ECs1582	NA
gi|15830837|ref|NP_309610.1|	hypothetical protein ECs1583, partial	ECs1583	NA
gi|15830830|ref|NP_309603.1|	hypothetical protein ECs1576	ECs1576	NA
gi|15830831|ref|NP_309604.1|	Icd-like protein	ECs1577	NA
gi|15830832|ref|NP_309605.1|	hypothetical protein ECs1578	ECs1578	NA
gi|15830833|ref|NP_309606.1|	hypothetical protein ECs1579	ECs1579	NA
gi|15834535|ref|NP_313308.1|	mannonate dehydratase	ECs5281	NA
gi|38704220|ref|NP_312942.2|	thiamine biosynthesis protein ThiF	ECs4915	thiF
gi|15832768|ref|NP_311541.1|	hypothetical protein ECs3514	ECs3514	NA
gi|15830925|ref|NP_309698.1|	hypothetical protein ECs1671	ECs1671	NA
gi|15830838|ref|NP_309611.1|	hypothetical protein ECs1584, partial	ECs1584	NA
gi|15830839|ref|NP_309612.1|	hypothetical protein ECs1585	ECs1585	NA
gi|15834533|ref|NP_313306.1|	D-mannose specific adhesin	ECs5279	NA
gi|15833298|ref|NP_312071.1|	Nlp family transcriptional regulator	ECs4044	NA
gi|15832560|ref|NP_311333.1|	N-acetylmuramoyl-l-alanine amidase I	ECs3306	NA
gi|15832561|ref|NP_311334.1|	coproporphyrinogen III oxidase	ECs3307	NA
gi|15832562|ref|NP_311335.1|	transcriptional regulator EutR	ECs3308	NA
gi|15832564|ref|NP_311337.1|	hypothetical protein ECs3310	ECs3310	NA
gi|15831963|ref|NP_310736.1|	sulfite oxidase subunit YedY	ECs2709	NA
gi|15832566|ref|NP_311339.1|	ethanolamine ammonia-lyase heavy chain	ECs3312	NA
gi|15832567|ref|NP_311340.1|	reactivating factor for ethanolamine ammonia lyase	ECs3313	eutA
gi|15832568|ref|NP_311341.1|	EutH	ECs3314	NA
gi|15833541|ref|NP_312314.1|	regulator of gluconate operon	ECs4287	NA
gi|15833276|ref|NP_312049.1|	outer membrane protein	ECs4022	NA
gi|15834456|ref|NP_313229.1|	antitoxin ChpS	ECs5202	NA
gi|15831577|ref|NP_310350.1|	glucuronide transporter	ECs2323	NA
gi|38704128|ref|NP_311838.2|	hypothetical protein ECs3811	ECs3811	NA
gi|15831698|ref|NP_310471.1|	PTS system N,N'-diacetylchitobiose-specific transporter subunit IIB	ECs2444	NA
gi|15834029|ref|NP_312802.1|	proline dipeptidase	ECs4775	NA
gi|15829991|ref|NP_308764.1|	carboxylase	ECs0737	NA
gi|15829990|ref|NP_308763.1|	carboxylase	ECs0736	NA
gi|15829993|ref|NP_308766.1|	endonuclease VIII	ECs0739	NA
gi|15829992|ref|NP_308765.1|	LamB/YcsF family protein	ECs0738	NA
gi|15829995|ref|NP_308768.1|	hypothetical protein ECs0741	ECs0741	NA
gi|15829994|ref|NP_308767.1|	transporter	ECs0740	NA
gi|15829997|ref|NP_308770.1|	hypothetical protein ECs0743	ECs0743	NA
gi|15829996|ref|NP_308769.1|	chaperone	ECs0742	NA
gi|15829999|ref|NP_308772.1|	type II citrate synthase	ECs0745	gltA
gi|15829998|ref|NP_308771.1|	fimbrial-like protein	ECs0744	NA
gi|162139764|ref|NP_311454.2|	DNA-binding transcriptional regulator	ECs3427	NA
gi|162139765|ref|NP_311428.2|	stationary phase inducible protein CsiE	ECs3401	NA
gi|15829339|ref|NP_308112.1|	cell division protein MraZ	ECs0085	NA
gi|15829338|ref|NP_308111.1|	DNA-binding transcriptional regulator FruR	ECs0084	NA
gi|162139760|ref|NP_311856.2|	hypothetical protein ECs3829	ECs3829	NA
gi|15831573|ref|NP_310346.1|	mannose-6-phosphate isomerase	ECs2319	NA
gi|15830948|ref|NP_309721.1|	molybdenum transport protein ModD	ECs1694	NA
gi|15830949|ref|NP_309722.1|	hypothetical protein ECs1695	ECs1695	NA
gi|15830238|ref|NP_309011.1|	transport	ECs0984	NA
gi|15830239|ref|NP_309012.1|	pyruvate formate lyase-activating enzyme 1	ECs0985	pflA
gi|15833569|ref|NP_312342.1|	hypothetical protein ECs4315	ECs4315	NA
gi|15832756|ref|NP_311529.1|	serine/threonine protein phosphatase	ECs3502	NA
gi|15830232|ref|NP_309005.1|	seryl-tRNA synthetase	ECs0978	NA
gi|15830941|ref|NP_309714.1|	L,D-carboxypeptidase A	ECs1688	ldcA
gi|15830230|ref|NP_309003.1|	outer-membrane lipoprotein carrier protein	ECs0976	lolA
gi|15830231|ref|NP_309004.1|	recombination factor protein RarA	ECs0977	NA
gi|15830236|ref|NP_309009.1|	hypothetical protein ECs0982	ECs0982	NA
gi|15830237|ref|NP_309010.1|	MFS family transporter protein	ECs0983	NA
gi|15830234|ref|NP_309007.1|	anaerobic dimethyl sulfoxide reductase subunit B	ECs0980	NA
gi|15830235|ref|NP_309008.1|	anaerobic dimethyl sulfoxide reductase subunit C	ECs0981	NA
gi|15834221|ref|NP_312994.1|	hypothetical protein ECs4967	ECs4967	NA
gi|15834220|ref|NP_312993.1|	hypothetical protein ECs4966	ECs4966	NA
gi|15834223|ref|NP_312996.1|	portal protein	ECs4969	NA
gi|15834222|ref|NP_312995.1|	hypothetical protein ECs4968	ECs4968	NA
gi|15834225|ref|NP_312998.1|	hypothetical protein ECs4971	ECs4971	NA
gi|15833865|ref|NP_312638.1|	acetolactate synthase 1 regulatory subunit	ECs4611	NA
gi|15834227|ref|NP_313000.1|	protease	ECs4973	NA
gi|15834226|ref|NP_312999.1|	virion morphogenesis protein	ECs4972	NA
gi|15834229|ref|NP_313002.1|	hypothetical protein ECs4975	ECs4975	NA
gi|15834228|ref|NP_313001.1|	major head subunit	ECs4974	NA
gi|15834527|ref|NP_313300.1|	FimA	ECs5273	NA
gi|162139733|ref|NP_312963.2|	IclR family transcriptional regulator	ECs4936	NA
gi|15833997|ref|NP_312770.1|	DNA-dependent helicase II	ECs4743	uvrD
gi|15833716|ref|NP_312489.1|	hypothetical protein ECs4462	ECs4462	NA
gi|15829429|ref|NP_308202.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase	ECs0175	NA
gi|15829428|ref|NP_308201.1|	ribosome recycling factor	ECs0174	frr
gi|15833895|ref|NP_312668.1|	tRNA modification GTPase TrmE	ECs4641	trmE
gi|15833894|ref|NP_312667.1|	inner membrane protein translocase component YidC	ECs4640	NA
gi|15833893|ref|NP_312666.1|	ribonuclease P	ECs4639	rnpA
gi|15833892|ref|NP_312665.1|	50S ribosomal protein L34	ECs4638	rpmH
gi|15833891|ref|NP_312664.1|	chromosomal replication initiation protein	ECs4637	dnaA
gi|15833719|ref|NP_312492.1|	hypothetical protein ECs4465	ECs4465	NA
gi|15829421|ref|NP_308194.1|	hypothetical protein ECs0167	ECs0167	NA
gi|15829420|ref|NP_308193.1|	carbohydrate diacid transcriptional activator CdaR	ECs0166	NA
gi|15829423|ref|NP_308196.1|	PII uridylyl-transferase	ECs0169	NA
gi|15829422|ref|NP_308195.1|	2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	ECs0168	dapD
gi|15829425|ref|NP_308198.1|	30S ribosomal protein S2	ECs0171	rpsB
gi|15829424|ref|NP_308197.1|	methionine aminopeptidase	ECs0170	NA
gi|15829427|ref|NP_308200.1|	uridylate kinase	ECs0173	pyrH
gi|15829426|ref|NP_308199.1|	elongation factor Ts	ECs0172	tsf
gi|15831947|ref|NP_310720.1|	mannosyl-3-phosphoglycerate phosphatase	ECs2693	NA
gi|15831945|ref|NP_310718.1|	hypothetical protein ECs2691	ECs2691	NA
gi|15831944|ref|NP_310717.1|	transcriptional regulator for ctr capsule biosynthesis	ECs2690	NA
gi|38704035|ref|NP_310713.2|	flagellar biosynthesis protein FliO	ECs2686	NA
gi|15831942|ref|NP_310715.1|	flagellar biosynthesis protein FliQ	ECs2688	fliQ
gi|15831941|ref|NP_310714.1|	flagellar biosynthesis protein FliP	ECs2687	fliP
gi|15834324|ref|NP_313097.1|	hypothetical protein ECs5070	ECs5070	NA
gi|15833717|ref|NP_312490.1|	hypothetical protein ECs4463	ECs4463	NA
gi|15834326|ref|NP_313099.1|	carbohydrate ABC transporter permease	ECs5072	NA
gi|15834327|ref|NP_313100.1|	sugar ABC transporter ATP-binding protein	ECs5073	NA
gi|15834320|ref|NP_313093.1|	hypothetical protein ECs5066	ECs5066	NA
gi|15834321|ref|NP_313094.1|	regulatory protein	ECs5067	NA
gi|15831949|ref|NP_310722.1|	hypothetical protein ECs2695	ECs2695	NA
gi|15831948|ref|NP_310721.1|	hypothetical protein ECs2694	ECs2694	NA
gi|15833413|ref|NP_312186.1|	50S ribosomal protein L17	ECs4159	rplQ
gi|15833412|ref|NP_312185.1|	hypothetical protein ECs4158	ECs4158	NA
gi|15832948|ref|NP_311721.1|	DNA-binding transcriptional regulator GalR	ECs3694	NA
gi|15832949|ref|NP_311722.1|	diaminopimelate decarboxylase	ECs3695	NA
gi|15833417|ref|NP_312190.1|	30S ribosomal protein S13	ECs4163	rpsM
gi|15833416|ref|NP_312189.1|	30S ribosomal protein S11	ECs4162	NA
gi|15830308|ref|NP_309081.1|	hypothetical protein ECs1054	ECs1054	NA
gi|15830309|ref|NP_309082.1|	integrase	ECs1055	NA
gi|15830306|ref|NP_309079.1|	acylphosphatase	ECs1052	NA
gi|15832943|ref|NP_311716.1|	transporter	ECs3689	NA
gi|15832940|ref|NP_311713.1|	fused phosphoenolpyruvate-protein phosphotransferase PtsP/GAF domain	ECs3686	NA
gi|15832941|ref|NP_311714.1|	dinucleoside polyphosphate hydrolase	ECs3687	NA
gi|15830302|ref|NP_309075.1|	hypothetical protein ECs1048	ECs1048	NA
gi|15830303|ref|NP_309076.1|	hypothetical protein ECs1049	ECs1049	NA
gi|15830300|ref|NP_309073.1|	DNA helicase IV	ECs1046	helD
gi|15832945|ref|NP_311718.1|	aldo/keto reductase	ECs3691	tas
gi|15832788|ref|NP_311561.1|	transcriptional regulator	ECs3534	NA
gi|15832789|ref|NP_311562.1|	hypothetical protein ECs3535	ECs3535	NA
gi|15833961|ref|NP_312734.1|	DNA-binding transcriptional regulator IlvY	ECs4707	NA
gi|15833205|ref|NP_311978.1|	G/U mismatch-specific DNA glycosylase	ECs3951	NA
gi|15833967|ref|NP_312740.1|	ATP-dependent RNA helicase RhlB	ECs4713	NA
gi|15833966|ref|NP_312739.1|	guanosine pentaphosphate phosphohydrolase	ECs4712	NA
gi|15833965|ref|NP_312738.1|	ATP-dependent DNA helicase Rep	ECs4711	NA
gi|15833711|ref|NP_312484.1|	transcriptional regulator	ECs4457	NA
gi|15832780|ref|NP_311553.1|	LysM domain/BON superfamily protein	ECs3526	NA
gi|15832781|ref|NP_311554.1|	hypothetical protein ECs3527	ECs3527	NA
gi|15832782|ref|NP_311555.1|	hypothetical protein ECs3528	ECs3528	NA
gi|15832783|ref|NP_311556.1|	hypothetical protein ECs3529	ECs3529	NA
gi|15832784|ref|NP_311557.1|	DNA binding protein	ECs3530	NA
gi|15831791|ref|NP_310564.1|	regulator	ECs2537	NA
gi|15832786|ref|NP_311559.1|	hypothetical protein ECs3532	ECs3532	NA
gi|15833203|ref|NP_311976.1|	DNA primase	ECs3949	dnaG
gi|15834448|ref|NP_313221.1|	hypothetical protein ECs5194	ECs5194	NA
gi|15833714|ref|NP_312487.1|	outer membrane protein	ECs4460	NA
gi|15834453|ref|NP_313226.1|	hypothetical protein ECs5199	ECs5199	NA
gi|15834206|ref|NP_312979.1|	host-nuclease inhibitor protein	ECs4952	NA
gi|15833853|ref|NP_312626.1|	hypothetical protein ECs4599	ECs4599	NA
gi|15833715|ref|NP_312488.1|	LysR family transcriptional regulator	ECs4461	NA
gi|15830049|ref|NP_308822.1|	6-phosphogluconolactonase	ECs0795	NA
gi|15830048|ref|NP_308821.1|	phosphotransferase	ECs0794	NA
gi|10955325|ref|NP_052666.1|	transposase Tra5	pO157p59	NA
gi|10955324|ref|NP_052665.1|	toxin B	pO157p58	toxB
gi|15829519|ref|NP_308292.1|	xanthine-guanine phosphoribosyltransferase	ECs0265	NA
gi|15829518|ref|NP_308291.1|	hypothetical protein ECs0264	ECs0264	NA
gi|10955321|ref|NP_052662.1|	hypothetical protein pO157p55	pO157p55	NA
gi|10955320|ref|NP_052661.1|	NikB	pO157p54	nikB
gi|15829515|ref|NP_308288.1|	hypothetical protein ECs0261	ECs0261	NA
gi|15830040|ref|NP_308813.1|	galactose-1-phosphate uridylyltransferase	ECs0786	NA
gi|15829517|ref|NP_308290.1|	peptide chain release factor-like protein	ECs0263	prfH
gi|15830042|ref|NP_308815.1|	molybdenum transport ATP-binding protein ModF	ECs0788	NA
gi|15830045|ref|NP_308818.1|	molybdate transporter periplasmic protein	ECs0791	modA
gi|15830044|ref|NP_308817.1|	hypothetical protein ECs0790	ECs0790	NA
gi|15830047|ref|NP_308820.1|	molybdate transporter ATP-binding protein	ECs0793	modC
gi|15830046|ref|NP_308819.1|	molybdate ABC transporter permease	ECs0792	modB
gi|15834031|ref|NP_312804.1|	potassium transporter	ECs4777	NA
gi|15831549|ref|NP_310322.1|	oxidoreductase Fe-S subunit	ECs2295	NA
gi|15831548|ref|NP_310321.1|	oxidoreductase major subunit	ECs2294	NA
gi|15833270|ref|NP_312043.1|	tagatose-6-phosphate aldose/ketose isomerase	ECs4016	NA
gi|15834035|ref|NP_312808.1|	hypothetical protein ECs4781	ECs4781	NA
gi|15834036|ref|NP_312809.1|	serine/threonine protein kinase	ECs4782	NA
gi|15834037|ref|NP_312810.1|	protein disulfide isomerase I	ECs4783	NA
gi|15831543|ref|NP_310316.1|	hypothetical protein ECs2289	ECs2289	NA
gi|15831542|ref|NP_310315.1|	hypothetical protein ECs2288	ECs2288	NA
gi|15831541|ref|NP_310314.1|	excisionase	ECs2287	NA
gi|15831540|ref|NP_310313.1|	hypothetical protein ECs2286	ECs2286	NA
gi|15831547|ref|NP_310320.1|	oxidoreductase major subunit	ECs2293	NA
gi|15831546|ref|NP_310319.1|	hypothetical protein ECs2292	ECs2292	NA
gi|15831544|ref|NP_310317.1|	spermidine N1-acetyltransferase	ECs2290	NA
gi|15832889|ref|NP_311662.1|	hypothetical protein ECs3635	ECs3635	NA
gi|15833208|ref|NP_311981.1|	aerotaxis sensor receptor	ECs3954	NA
gi|38704119|ref|NP_311685.2|	exonuclease IX	ECs3658	xni
gi|15832332|ref|NP_311105.1|	nucleoid-associated protein NdpA	ECs3078	NA
gi|15832891|ref|NP_311664.1|	hypothetical protein ECs3637	ECs3637	NA
gi|15834451|ref|NP_313224.1|	methionine sulfoxide reductase A	ECs5197	NA
gi|38704116|ref|NP_311648.2|	hypothetical protein ECs3621	ECs3621	NA
gi|15829601|ref|NP_308374.1|	hypothetical protein ECs0347	ECs0347	NA
gi|15831712|ref|NP_310485.1|	hypothetical protein ECs2458	ECs2458	NA
gi|15829603|ref|NP_308376.1|	hypothetical protein ECs0349	ECs0349	NA
gi|15829602|ref|NP_308375.1|	hypothetical protein ECs0348	ECs0348	NA
gi|15829605|ref|NP_308378.1|	hypothetical protein ECs0351	ECs0351	NA
gi|15829604|ref|NP_308377.1|	adhesin	ECs0350	NA
gi|15829607|ref|NP_308380.1|	hypothetical protein ECs0353, partial	ECs0353	NA
gi|15829606|ref|NP_308379.1|	hypothetical protein ECs0352, partial	ECs0352	NA
gi|38704026|ref|NP_310609.2|	biotin sulfoxide reductase	ECs2582	NA
gi|38704027|ref|NP_310611.2|	copper homeostasis protein CutC	ECs2584	NA
gi|38704025|ref|NP_310606.2|	hypothetical protein ECs2579	ECs2579	NA
gi|38704022|ref|NP_310569.2|	hypothetical protein ECs2542	ECs2542	NA
gi|38704023|ref|NP_310575.2|	serine/threonine protein phosphatase 1	ECs2548	pphA
gi|38704020|ref|NP_944546.1|	hypothetical protein ECs5463	ECs5463	NA
gi|38704021|ref|NP_310565.2|	transporter	ECs2538	NA
gi|15832887|ref|NP_311660.1|	hypothetical protein ECs3633	ECs3633	NA
gi|15834266|ref|NP_313039.1|	hypothetical protein ECs5012	ECs5012	NA
gi|15831795|ref|NP_310568.1|	solute/DNA competence effector	ECs2541	NA
gi|15831987|ref|NP_310760.1|	portal protein	ECs2733	NA
gi|15831716|ref|NP_310489.1|	ABC transporter ATP-binding protein	ECs2462	NA
gi|15830787|ref|NP_309560.1|	antirepressor protein	ECs1533	NA
gi|15832168|ref|NP_310941.1|	type-1 fimbrial protein	ECs2914	NA
gi|15830784|ref|NP_309557.1|	holin	ECs1530	NA
gi|38704212|ref|NP_312880.2|	hypothetical protein ECs4853	ECs4853	NA
gi|15832164|ref|NP_310937.1|	outer membrane protein	ECs2910	NA
gi|15832165|ref|NP_310938.1|	hypothetical protein ECs2911	ECs2911	NA
gi|15832166|ref|NP_310939.1|	nickel/cobalt efflux protein RcnA	ECs2912	NA
gi|15830785|ref|NP_309558.1|	hypothetical protein ECs1531	ECs1531	NA
gi|15832160|ref|NP_310933.1|	phosphomethylpyrimidine kinase	ECs2906	NA
gi|15832161|ref|NP_310934.1|	hydroxyethylthiazole kinase	ECs2907	NA
gi|15832162|ref|NP_310935.1|	hypothetical protein ECs2908	ECs2908	NA
gi|15832163|ref|NP_310936.1|	hypothetical protein ECs2909	ECs2909	NA
gi|15830621|ref|NP_309394.1|	hypothetical protein ECs1367	ECs1367	NA
gi|38704114|ref|NP_311560.2|	hypothetical protein ECs3533	ECs3533	NA
gi|15831159|ref|NP_309932.1|	murein peptide amidase A	ECs1905	NA
gi|15830620|ref|NP_309393.1|	hypothetical protein ECs1366	ECs1366	NA
gi|15831154|ref|NP_309927.1|	hypothetical protein ECs1900	ECs1900	NA
gi|15831155|ref|NP_309928.1|	hypothetical protein ECs1901	ECs1901	NA
gi|15831156|ref|NP_309929.1|	DNA-binding transcriptional regulator TyrR	ECs1902	NA
gi|15831157|ref|NP_309930.1|	thiol peroxidase	ECs1903	tpx
gi|15831150|ref|NP_309923.1|	beta-phosphoglucomutase	ECs1896	NA
gi|15830788|ref|NP_309561.1|	endopeptidase	ECs1534	NA
gi|15831152|ref|NP_309925.1|	outer membrane protein	ECs1898	NA
gi|15831153|ref|NP_309926.1|	LACI-type transcriptional regulator	ECs1899	NA
gi|15833858|ref|NP_312631.1|	regulatory protein UhpC	ECs4604	NA
gi|15831798|ref|NP_310571.1|	hypothetical protein ECs2544	ECs2544	NA
gi|15831719|ref|NP_310492.1|	pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase	ECs2465	NA
gi|15829988|ref|NP_308761.1|	transporter	ECs0734	NA
gi|15831793|ref|NP_310566.1|	heat shock protein HtpX	ECs2539	NA
gi|15831790|ref|NP_310563.1|	hypothetical protein ECs2536	ECs2536	NA
gi|15829325|ref|NP_308098.1|	thiamine transporter membrane protein	ECs0071	thiP
gi|15831026|ref|NP_309799.1|	colonization factor	ECs1772	NA
gi|15831794|ref|NP_310567.1|	carboxy-terminal protease	ECs2540	NA
gi|15830624|ref|NP_309397.1|	glucosyl-transferase	ECs1370	NA
gi|162139775|ref|NP_311134.2|	hybrid sensory kinase in two-component regulatory system with RcsB and YojN	ECs3107	NA
gi|15831027|ref|NP_309800.1|	prophage maintenance protein	ECs1773	NA
gi|15830627|ref|NP_309400.1|	hypothetical protein ECs1373	ECs1373	NA
gi|162139774|ref|NP_311140.2|	hypothetical protein ECs3113	ECs3113	NA
gi|15830626|ref|NP_309399.1|	transposase	ECs1372	NA
gi|15829984|ref|NP_308757.1|	hypothetical protein ECs0730	ECs0730	NA
gi|15832771|ref|NP_311544.1|	hypothetical protein ECs3517	ECs3517	NA
gi|15834208|ref|NP_312981.1|	hypothetical protein ECs4954	ECs4954	NA
gi|15829674|ref|NP_308447.1|	taurine transporter ATP-binding protein	ECs0420	tauB
gi|15829985|ref|NP_308758.1|	H repeat-containing protein	ECs0731	NA
gi|15829675|ref|NP_308448.1|	taurine transporter subunit	ECs0421	NA
gi|15833361|ref|NP_312134.1|	serine endoprotease	ECs4107	NA
gi|162139771|ref|NP_311205.2|	hypothetical protein ECs3178	ECs3178	NA
gi|15833363|ref|NP_312136.1|	malate dehydrogenase	ECs4109	NA
gi|15833362|ref|NP_312135.1|	serine endoprotease	ECs4108	NA
gi|15833365|ref|NP_312138.1|	hypothetical protein ECs4111	ECs4111	NA
gi|15829676|ref|NP_308449.1|	taurine dioxygenase	ECs0422	tauD
gi|15833367|ref|NP_312140.1|	p-hydroxybenzoic acid efflux subunit AaeB	ECs4113	NA
gi|162139770|ref|NP_311209.2|	hypothetical protein ECs3182	ECs3182	NA
gi|38704032|ref|NP_310666.2|	tail protein	ECs2639	NA
gi|162139773|ref|NP_311183.2|	ribonuclease Z	ECs3156	NA
gi|15833581|ref|NP_312354.1|	acyltransferase	ECs4327	NA
gi|15829670|ref|NP_308443.1|	regulatory protein	ECs0416	NA
gi|162139772|ref|NP_311187.2|	NADH dehydrogenase subunit N	ECs3160	NA
gi|15834579|ref|NP_313352.1|	regulator	ECs5325	NA
gi|15834571|ref|NP_313344.1|	hypothetical protein ECs5317	ECs5317	NA
gi|15829671|ref|NP_308444.1|	sensor histidine protein kinase	ECs0417	NA
gi|15834041|ref|NP_312814.1|	ribosome biogenesis GTP-binding protein YsxC	ECs4787	engB
gi|15833688|ref|NP_312461.1|	3-methyladenine DNA glycosylase	ECs4434	NA
gi|15829672|ref|NP_308445.1|	transcriptional regulator	ECs0418	NA
gi|15832883|ref|NP_311656.1|	hypothetical protein ECs3629	ECs3629	NA
gi|15831028|ref|NP_309801.1|	hypothetical protein ECs1774	ECs1774	NA
gi|162139808|ref|NP_308464.2|	hypothetical protein ECs0436	ECs0436	NA
gi|15830791|ref|NP_309564.1|	hypothetical protein ECs1537	ECs1537	NA
gi|38704113|ref|NP_311552.2|	DNA-binding transcriptional regulator CsiR	ECs3525	NA
gi|15834108|ref|NP_312881.1|	hypothetical protein ECs4854	ECs4854	NA
gi|15831029|ref|NP_309802.1|	hypothetical protein ECs1775	ECs1775	NA
gi|15830557|ref|NP_309330.1|	hypothetical protein ECs1303	ECs1303	NA
gi|162139807|ref|NP_308472.2|	fructokinase	ECs0444	NA
gi|15830555|ref|NP_309328.1|	transposase	ECs1301	NA
gi|15830554|ref|NP_309327.1|	hypothetical protein ECs1300	ECs1300	NA
gi|15830553|ref|NP_309326.1|	integrase	ECs1299	NA
gi|15830552|ref|NP_309325.1|	hypothetical protein ECs1298	ECs1298	NA
gi|15830551|ref|NP_309324.1|	hypothetical protein ECs1297	ECs1297	NA
gi|15830550|ref|NP_309323.1|	hypothetical protein ECs1296	ECs1296	NA
gi|38704248|ref|NP_313255.2|	hypothetical protein ECs5228	ECs5228	NA
gi|38704132|ref|NP_311867.2|	protein NupG	ECs3840	NA
gi|15830559|ref|NP_309332.1|	hypothetical protein ECs1305	ECs1305	NA
gi|15830558|ref|NP_309331.1|	hypothetical protein ECs1304	ECs1304	NA
gi|15833836|ref|NP_312609.1|	EscS	ECs4582	NA
gi|15831039|ref|NP_309812.1|	antirepressor protein	ECs1785	NA
gi|15834521|ref|NP_313294.1|	hypothetical protein ECs5267	ECs5267	NA
gi|15833097|ref|NP_311870.1|	integrase	ECs3843	NA
gi|15829678|ref|NP_308451.1|	flagellin structural protein	ECs0424	NA
gi|15830790|ref|NP_309563.1|	hypothetical protein ECs1536	ECs1536	NA
gi|38704110|ref|NP_311501.2|	hypothetical protein ECs3474	ECs3474	NA
gi|15833093|ref|NP_311866.1|	murein transglycosylase C	ECs3839	mltC
gi|15833092|ref|NP_311865.1|	hypothetical protein ECs3838	ECs3838	NA
gi|15833091|ref|NP_311864.1|	adenine DNA glycosylase	ECs3837	NA
gi|15829679|ref|NP_308452.1|	DNA-binding transcriptional regulator	ECs0425	NA
gi|15834219|ref|NP_312992.1|	C4-type zinc finger TraR	ECs4965	NA
gi|38704136|ref|NP_311921.2|	AraC family transcriptional regulator	ECs3895	NA
gi|15834154|ref|NP_312927.1|	biotin--protein ligase	ECs4900	birA
gi|38704137|ref|NP_311923.2|	2,5-diketo-D-gluconate reductase A	ECs3896	dkgA
gi|15832304|ref|NP_311077.1|	hypothetical protein ECs3050	ECs3050	NA
gi|15832305|ref|NP_311078.1|	endonuclease IV	ECs3051	NA
gi|15832306|ref|NP_311079.1|	hypothetical protein ECs3052	ECs3052	NA
gi|15832307|ref|NP_311080.1|	transport system permease	ECs3053	NA
gi|15832300|ref|NP_311073.1|	esterase	ECs3046	NA
gi|15832301|ref|NP_311074.1|	colicin I receptor	ECs3047	NA
gi|15832302|ref|NP_311075.1|	lysine transporter	ECs3048	NA
gi|15832303|ref|NP_311076.1|	DNA-binding transcriptional regulator	ECs3049	NA
gi|38704111|ref|NP_311527.2|	hypothetical protein ECs3500	ECs3500	NA
gi|15832308|ref|NP_311081.1|	ribonucleoside hydrolase 2	ECs3054	rihB
gi|15831371|ref|NP_310144.1|	lipoprotein	ECs2117	NA
gi|15834270|ref|NP_313043.1|	maltose transporter membrane protein	ECs5016	malF
