all genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAC screening 05082013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ()*,input pool 1,,,output pool 1,,,input pool 2,,,output pool 2,,,input pool 3,,,output pool 3,,,BAC2B24,,,BAC2B5,,,,,,,,,
A_07_P058784,0.99999994,P,796.8452,0.5798783,P,358.0523,1,P,763.6692,0.29722905,P,162.7994,1,P,292.8664,0.5968061,P,233.1127,0.13505505,P,45.69834,0.32293352,P,107.5498,,ECs1991,putative outer membrane protein,,,917206,ECs1991
A_07_P003673,0.99999994,P,12295.09,0.8023888,P,7644.555,1,P,11366.4,0.6520701,P,5315.86,1,P,5646.874,0.790775,P,5955.581,0.99451506,P,8607.094,1.0054849,P,8565.004,,chpS,antitoxin of the ChpB-ChpS toxin-antitoxin system,,chr:4446497-4446556,948739,b4224
A_07_P011282,0.99999994,P,27590.74,0.89173913,P,19065,1,P,23382.27,0.88389283,P,14823.22,1,P,14543.52,0.75467885,P,14638.44,0.81000423,P,16505.06,0.79737985,P,15991.97,,yjdA,conserved protein with nucleoside triphosphate hydrolase domain,,chr:4327171-4327230,948620,b4109
A_07_P058780,1,P,841.3918,0.6897475,P,449.7012,1,P,285.4554,0.5736739,P,117.4518,1,P,327.1808,1.3983675,P,610.2,0.27301005,P,98.54392,0.62256753,P,221.1793,,ECs1990,putative host specificity protein,,,917191,ECs1990
A_07_P035219,1,P,2161.048,1.2402447,P,2076.861,0.99999994,P,1345.418,1.4216151,P,1371.815,1,P,621.1472,1.1921445,P,987.6124,1.1489615,P,1907.995,1.0105342,P,1651.694,,ynjD,Hypothetical ABC transporter ATP-binding protein ynjD,,,1036590,c_2157
A_07_P035213,0.99999994,P,12210.85,1.0911723,P,10324.64,1,P,8719.376,1.081467,P,6763.242,0.99999994,P,4448.635,1.276281,P,7572.446,0.95757926,P,8835.291,0.9952191,P,9037.986,,ydjY,Hypothetical protein ydjY precursor,,,1036581,c_2152
A_07_P015638,1,P,14203.95,1.1157713,P,12280.61,1,P,11672.94,1.1989204,P,10037.53,1,P,6477.425,1.0571625,P,9132.869,0.80162895,P,9429.713,0.93154955,P,10785.44,,yeaL,conserved inner membrane protein,GO:0009274(peptidoglycan-based cell wall),chr:1872499-1872558,946307,b1789
A_07_P015631,1,P,6768.731,1.208233,P,6337.144,1,P,5246.602,1.3259195,P,4989.437,1,P,2491.561,1.3701522,P,4553.061,1.0887411,P,6669.477,0.9849232,P,5938.495,,yoaI,predicted protein,,chr:1872173-1872114,946294,b1788
A_07_P003668,1,P,16704.86,0.7955318,P,10297.6,1,P,11739.24,0.86738634,P,7303.127,1,P,6752.504,0.6492364,P,5846.969,0.95365655,P,9937.501,1.0303315,P,10567.42,,,,,chr:4446230-4446171,,b4223
A_07_P011276,1,P,1442.269,0.9095871,P,1016.544,1,P,847.2992,1.1817235,P,718.1397,1,P,470.1772,1.3377504,P,838.8798,1.0796193,P,1069.831,0.96755815,P,943.6881,,yjdM,conserved protein,,chr:4324497-4324438,948621,b4108
A_07_P003664,1,P,16693.74,0.77229977,P,9990.223,1,P,13603.25,0.63324463,P,6178.321,1,P,5671.655,0.6732434,P,5092.664,0.93166107,P,8967.136,0.98152155,P,9298.277,,ytfP,conserved protein,,chr:4446171-4446230,948741,b4222
A_07_P011271,1,P,28744.1,0.8927316,P,19884.07,1,M,22588.81,0.8707992,P,14108.07,1,P,14810.84,0.8088331,P,15977.24,0.9564353,P,20030.56,0.9097018,P,18751.82,,yjdN,conserved protein,,chr:4323380-4323321,948622,b4107
A_07_P035207,1,P,3418.087,1.323816,P,3506.278,1,P,2083.904,1.7598003,P,2630.252,1,P,1549.633,1.3516066,P,2793.459,1.0364808,P,3484.928,0.97673917,P,3232.347,,xthA,exonuclease III,,,1036577,c_2150
A_07_P035202,1,P,10744.98,1.1343589,P,9444.777,1,P,8079.467,1.0751644,P,6230.37,0.99999994,P,3313.495,1.0461704,P,4623.298,1.0691645,P,8932.981,1.134136,P,9326.611,,,,,,,c_2149
A_07_P015627,1,P,4084.051,1.2821008,P,4057.411,1,P,2345.684,1.8958937,P,3189.626,1,P,1944.997,1.0068957,P,2611.96,1.0699614,P,4080.469,1.1121958,P,4174.746,,yeaK,conserved protein,,chr:1871981-1872040,946303,b1787
A_07_P015623,1,P,7915.246,1.0682806,P,6552.174,0.99999994,P,4426.95,1.7379967,P,5518.358,1,P,2995.774,0.88356745,M,3530.302,0.9731407,P,5703.445,1.0960238,P,6322.494,,yeaJ,predicted diguanylate cyclase,,chr:1871171-1871230,946290,b1786
A_07_P003657,0.99999994,P,31045.49,0.7755295,P,18656.6,1,P,25538.37,0.7796944,P,14281.5,1,P,12533.59,0.81360525,P,13600.42,0.7620129,P,14692.17,0.9184303,P,17429.17,,ytfN,conserved protein,,chr:4445780-4445839,948742,b4221
A_07_P011266,1,P,8838.476,0.8796606,P,6024.599,1,P,6644.653,0.8756785,P,4173.239,1,P,3851.777,0.67087036,P,3446.378,0.9036968,P,5255.929,0.95067185,P,5442.072,,phnC,phosphonate/organophosphate ester transporter subunit,GO:0005737(cytoplasm)|GO:0006793(phosphorus metabolic process),chr:4323053-4322994,948623,b4106
A_07_P058765,1,P,1322.924,0.5644921,P,578.6665,1,P,931.9213,0.27793002,P,185.768,0.99999994,P,585.594,0.6609989,P,516.2505,0.13974759,P,90.0285,0.30543476,P,193.6694,,ECs1987,putative tail assembly protein,,,917184,ECs1987
A_07_P011262,0.99999994,P,7583.455,0.84578186,P,4970.054,1,P,6896.775,0.7151855,P,3537.7,1,P,3824.258,0.59885603,P,3054.448,1.0258063,P,5163.513,0.97419363,P,4826.497,,phnD,phosphonate/organophosphate ester transporter subunit,GO:0006793(phosphorus metabolic process)|GO:0042597(periplasmic space),chr:4321650-4321591,948624,b4105
A_07_P003651,1,P,27926.7,0.771077,P,16686.03,1,P,23996.65,0.73179865,P,12595.01,1,P,13292.67,0.7553356,P,13391.07,0.78458595,P,14105.86,0.9370508,P,16581.7,,ytfM,predicted outer membrane protein and surface antigen,GO:0009274(peptidoglycan-based cell wall)|GO:0009279(cell outer membrane),chr:4441525-4441584,948733,b4220
A_07_P046796,1,P,1772.553,1.0761032,P,1478.049,1,P,956.8079,0.7293937,P,500.5449,1,P,432.1266,1.0018485,P,577.3991,0.4115396,P,331.3929,0.7196967,P,570.4111,,ureG,putative urease accessory protein G,,,958601,Z1148
A_07_P046791,1,P,1607.68,1.1004546,P,1370.905,1,P,803.3935,0.83714277,P,482.3742,1,P,343.7994,1.0179137,P,466.7445,0.4290631,P,281.6269,0.80531913,P,520.2688,,ureF,putative urease accessory protein F,,,958588,Z1147
A_07_P015616,1,P,16927.57,1.2113894,P,15889.64,1,P,15674.01,1.3144081,P,14776.33,1,P,8799.205,1.1725289,P,13760.37,0.95924604,P,15335.13,1.0898136,P,17148.12,,yeaI,predicted diguanylate cyclase,,chr:1869683-1869742,946366,b1785
A_07_P015614,1,P,6108.845,1.1442465,P,5416.445,1,P,3164.255,2.0401108,P,4630.005,1,P,1854.324,1.5682472,P,3878.495,1.118339,P,5801.305,0.9754466,P,4980.381,,yeaH,conserved protein,,chr:1868194-1868253,946296,b1784
A_07_P015610,0.99999994,P,16754.6,1.1866418,P,15405.98,1,P,12872.96,1.3305806,P,12285.02,1,P,7287.208,0.9997975,P,9717.092,0.8922848,P,12001.47,0.99153304,P,13126.38,,yeaG,conserved protein with nucleoside triphosphate hydrolase domain,,chr:1866686-1866745,946297,b1783
A_07_P011257,1,P,12537.72,0.830047,P,8064.118,1,P,10950.9,0.6836097,P,5369.259,0.99999994,P,5120.385,0.71735626,P,4898.923,0.71583086,P,5744.184,1.0139215,P,8008.093,,phnE,pseudo,,chr:4321082-4321023,948625,b4104
A_07_P003647,1,P,22749.52,0.803683,P,14167.48,1,P,18186.54,0.8272324,P,10790.31,1,P,9579.119,0.8500067,P,10859.53,0.75134134,P,11251.28,0.8668205,P,12776.17,,msrA,methionine sulfoxide reductase A,GO:0006457(protein folding),chr:4439659-4439600,948734,b4219
A_07_P011255,1,P,16403.13,0.866333,P,11011.52,1,P,13500.23,0.6831827,P,6615.068,0.99999994,P,5822.927,0.7359462,P,5715.451,0.79304826,P,7879.953,0.90131265,P,8814.676,,,,,chr:4320526-4320467,,b4103
A_07_P058751,1,P,2136.954,0.8400335,P,1391.001,1,P,1244.106,0.5596132,P,499.346,1,P,1009.535,0.9012566,P,1213.481,0.3093168,P,400.2617,0.57980394,P,738.4626,,ECs1985,putative minor tail protein,,,917185,ECs1985
A_07_P054398,1,P,5974.22,0.85685587,P,3966.657,1,P,4100.396,0.56113034,P,1650.235,1,P,2229.764,0.57278997,P,1703.403,0.23374741,P,732.7992,0.48120415,P,1484.822,,,,,,,ECs2158
A_07_P003641,1,P,31015.34,0.81022817,P,19472.4,1,P,26420.84,0.8481997,P,16073.15,1,P,16299.31,0.88464004,P,19230.87,0.68074924,P,15526.09,0.788788,P,17706.88,,ytfL,predicted inner membrane protein,,chr:4438516-4438457,948735,b4218
A_07_P046788,1,P,2177.86,1.0361145,P,1748.531,0.99999994,P,977.3211,0.79328364,P,556.0605,1,P,490.322,0.6990125,P,457.1192,0.47550303,P,398.2529,0.8443073,P,696.0061,,ureE,urease accessory protein UreE,,,958583,Z1146
A_07_P046783,1,P,4815.841,0.94636273,P,3531.55,1,P,2497.007,0.65460455,P,1172.344,1,P,911.3123,0.9395531,P,1141.962,0.36646202,P,605.3283,0.8286687,P,1347.255,,ureC,urease subunit alpha,,,958581,Z1145
A_07_P054392,1,P,4112.009,0.7727841,P,2462.339,1,P,2604.304,0.50645053,P,945.9865,1,P,1287.549,0.56398267,P,968.4844,0.14105357,P,264.4047,0.4581501,P,845.2783,,ECs2157,hypothetical protein,,,917354,ECs2157
A_07_P046780,1,P,828.1971,1.0050403,P,644.9897,0.99999994,P,316.5016,0.89240205,P,202.5782,0.99999994,P,148.3702,1.4290947,P,282.7944,0.36787066,P,108.3112,0.7940188,P,230.0996,,ureB,urease subunit beta,,,958579,Z1144
A_07_P015602,1,P,20161.74,1.0683544,P,16690.87,1,P,15138.47,1.2610229,P,13691.82,1,P,8142.649,1.0084028,P,10951.23,0.8103151,P,12335.59,0.9856879,P,14769.04,,mipA,scaffolding protein for murein synthesizing machinery,GO:0009252(peptidoglycan biosynthetic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0009279(cell outer membrane),chr:1864307-1864248,946301,b1782
A_07_P011248,1,P,15338.62,0.8369007,P,9947.086,1,P,13039.01,0.69975626,P,6544.066,1,P,6537.186,0.6351782,P,5537.956,0.7297978,P,6834.843,0.83212566,P,7670.466,,phnF,predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation,GO:0006350(transcription)|GO:0006793(phosphorus metabolic process)|GO:0016564(transcription repressor activity),chr:4320419-4320360,948617,b4102
A_07_P003636,1,P,11829.28,0.80735755,P,7400.48,1,P,8705.066,0.86753577,P,5416.463,1,P,4631.281,0.81778187,P,5051.283,0.8948596,P,6571.084,0.9417881,P,6806.787,,ytfK,conserved protein,,chr:4437734-4437793,948736,b4217
A_07_P011245,1,P,10879.41,0.8152716,P,6872.952,1,P,7856.352,0.9074144,P,5113.083,1,P,5198.941,0.71392787,P,4950.309,1.0053852,P,7513.192,0.9946149,P,7315.665,,phnG,carbon-phosphorus lyase complex subunit,GO:0006793(phosphorus metabolic process),chr:4319428-4319369,948618,b4101
A_07_P003634,1,P,26277.87,0.8291117,P,16882.58,1,P,22439.29,0.78852,P,12690.48,1,P,13776.27,0.7204454,P,13237.19,1.005809,P,19332.06,0.9941911,P,18807.86,,ytfJ,predicted transcriptional regulator,,chr:4436937-4436878,948737,b4216
A_07_P011240,0.99999994,P,11153.88,0.76099586,P,6577.243,1,P,9498.589,0.615734,P,4194.773,1,P,4354.955,0.8093009,P,4700.638,0.98379093,P,6767.454,1.0162092,P,6880.381,,phnH,carbon-phosphorus lyase complex subunit,GO:0006793(phosphorus metabolic process),chr:4319083-4319024,948619,b4100
A_07_P054387,0.99999994,P,1691.297,0.7869393,P,1031.328,1,P,1438.679,0.5046193,P,520.6957,1,P,630.5412,1.8613245,P,1565.304,0.16542473,P,180.7992,0.3828759,P,411.8707,,ECs2156,hypothetical protein,,,917360,ECs2156
A_07_P046775,1,P,2978.362,0.9597598,P,2215.01,1,P,1426.232,0.7548174,P,772.1264,1,P,624.1647,1.2917482,P,1075.326,0.5250185,P,673.1343,0.85747886,P,1082.075,,ureA,urease subunit gamma,,,958577,Z1143
A_07_P054381,1,P,1635.212,0.6737595,P,853.7183,0.99999994,P,1137.1,0.6408236,P,522.6289,1,P,513.3326,0.6694834,P,458.3548,0.086577766,P,67.27517,0.15821202,P,121.0026,,ECs2155,hypothetical protein,,,917353,ECs2155
A_07_P003626,0.99999994,P,13073.17,0.8543615,P,8654.823,1,P,10200.13,0.911944,P,6671.602,1,P,5473.252,1.0846276,P,7917.521,0.8607276,P,8213.602,0.8104943,P,7612.454,,ytfI,predicted protein,,chr:4436167-4436226,948738,b4215
A_07_P003624,1,P,17265.89,0.76110077,P,10182.79,1,P,14483.35,0.76515543,P,7948.313,1,P,8041.856,0.72980005,P,7827.504,0.9894325,P,10968.79,1.0105677,P,11026.68,,cysQ,"PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase",GO:0006790(sulfur metabolic process),chr:4435047-4435106,948728,b4214
A_07_P058732,1,P,2806.086,0.90358293,P,1964.738,0.99999994,P,1223.049,0.7994189,P,701.2526,1,P,995.0323,1.0178483,P,1350.776,0.44120738,P,699.4539,0.83146894,P,1297.386,,ECs1981,putative tail assembly chaperon,,,917187,ECs1981
A_07_P011231,1,P,11670.38,0.7581612,P,6856.179,1,P,9898.108,0.5697666,P,4044.878,1,P,4127.904,0.71911454,P,3959.048,0.875449,P,5898.678,1.0015396,P,6641.999,,phnI,carbon-phosphorus lyase complex subunit,GO:0006793(phosphorus metabolic process),chr:4317967-4317908,948605,b4099
A_07_P058730,1,P,960.144,0.948874,P,705.9607,1,P,346.5073,0.9726305,P,241.7222,1,P,318.1328,1.0604073,P,449.9293,0.34869733,P,177.4019,0.8358249,P,418.535,,ECs1980,major tail protein,,,917178,ECs1980
A_07_P011230,1,P,18405.21,0.8690839,P,12394.76,1,P,16326.73,0.7165221,P,8390.446,1,P,8445.519,0.8056317,P,9074.568,0.8167952,P,10140.27,0.9078949,P,11093.76,,phnJ,carbon-phosphorus lyase complex subunit,,chr:4316843-4316784,948606,b4098
A_07_P054377,1,P,588.0605,0.4533175,P,206.5666,1,P,333.2541,0.51421094,P,122.906,1,P,223.1571,0.66705406,P,198.534,0.16876271,P,40.48829,0.24592751,P,58.07201,,ECs2154,hypothetical protein,,,917352,ECs2154
A_07_P046766,0.99999994,P,2038.761,1.0053295,P,1588.219,0.99999994,P,938.0317,0.75116944,P,505.3726,1,P,419.9433,1.0373703,P,581.0153,0.40307948,P,321.0264,0.78266054,P,613.5222,,ureD,putative urease accessory protein D,,,958575,Z1142
A_07_P054371,1,P,558.0046,0.48155823,P,208.2199,0.99999994,P,602.2403,0.4103934,P,177.2664,0.99999994,P,264.6505,0.34503424,P,121.7862,0.04516838,A,10.10197,0.09957081,A,21.91848,,ECs2153,putative damage-inducible protein,,,917347,ECs2153
A_07_P046761,1,P,1689.5116,0.9800676,P,1283.0774,1,P,793.8666,0.8542282,P,486.38223,0.99999994,P,283.14044,1.2405102,P,468.45233,0.39868265,P,263.25626,0.6415811,P,416.9748,,Z1141,hypothetical protein,,,958570,Z1141
A_07_P054370,1,P,10478.27,1.2286364,P,9975.819,1,P,8768.137,1.2798588,P,8048.698,1,P,5078.552,1.2363138,P,8373.976,0.78972673,P,7137.284,0.915287,P,8141.797,,ECs2151,putative oxidoreductase,,,917357,ECs2151
A_07_P034799,1,P,5309.629,1.3991135,P,5756.424,1,P,4048.626,1.3655385,P,3965.225,1,P,2123.765,1.7589147,P,4982.121,1.1403346,P,6234.24,1.0057875,P,5412.081,,,,,,,c_1824
A_07_P034790,1,P,22509.53,1.1541837,P,20131.54,1,P,20468.79,1.0662305,P,15653.07,1,P,7971.418,1.289848,P,13713.15,0.825117,P,14958.21,0.93118495,P,16615.25,,,,,,,c_1819
A_07_P003616,1,P,9917.98,0.843352,P,6481.385,1,P,7246.641,0.98420376,P,5115.382,0.99999994,P,4518.25,0.7709335,P,4645.691,0.7156352,P,4829.439,0.89871794,P,5969.463,,cpdB,2':3'-cyclic-nucleotide 2'-phosphodiesterase,"GO:0005737(cytoplasm)|GO:0015949(nucleobase, nucleoside and nucleotide interconversion)",chr:4432706-4432647,948729,b4213
A_07_P011223,1,P,7461.088,0.7669458,P,4434.069,1,P,6279.648,0.68264645,P,3074.591,0.99999994,P,3010.609,0.7473777,P,3000.942,0.912493,P,3978.168,1.0020211,P,4299.691,,phnK,carbon-phosphorus lyase complex subunit,GO:0005737(cytoplasm)|GO:0006793(phosphorus metabolic process),chr:4316761-4316702,948611,b4097
A_07_P003611,1,P,12645.51,0.7275397,P,7129.001,0.99999994,P,10835.62,0.5815103,P,4519.261,1,P,4682.44,0.857748,P,5356.672,0.91473776,P,7143.239,1.042469,P,8012.51,,ytfH,predicted transcriptional regulator,"GO:0006355(regulation of transcription, DNA-dependent)",chr:4432313-4432372,948730,b4212
A_07_P011220,1,P,7049.621,0.76135576,P,4159.001,1,P,4948.716,0.7465537,P,2649.78,1,P,2429.118,0.756016,P,2449.304,0.8021415,P,3137.34,0.9565999,P,3682.543,,phnL,carbon-phosphorus lyase complex subunit,GO:0005737(cytoplasm)|GO:0006793(phosphorus metabolic process),chr:4315750-4315691,948612,b4096
A_07_P046757,1,P,1471.468,0.9597748,P,1094.349,1,P,719.3112,0.9576447,P,494.0575,1,P,240.0538,1.6329952,P,522.8253,0.36050904,P,249.5489,0.5975127,P,407.0929,,Z1140,hypothetical protein,,,958567,Z1140
A_07_P046753,1,P,5937.036,1.1255947,P,5178.302,1,P,3326.414,1.010999,P,2412.033,1,P,1284.101,1.5370972,P,2632.471,0.28561273,P,939.1923,0.47945517,P,1551.786,,Z1139,putative diacylglycerol kinase,,,958566,Z1139
A_07_P054361,0.99999994,P,417.2042,0.4090127,P,132.2273,1,P,273.9079,0.43815905,P,86.07809,1,P,183.9752,0.39211765,P,96.21412,0.04570955,A,6.034844,0.32647943,P,42.425,,ftrA,transcriptional activator FtrA,,,917341,ECs2143
A_07_P058718,1,P,2697.108,0.89270097,P,1865.692,0.99999994,P,1102.229,0.77860487,P,615.5243,1,P,959.6848,0.9850946,P,1260.868,0.25140655,P,357.4634,0.6865903,P,960.8587,,ECs1978,hypothetical protein,,,917177,ECs1978
A_07_P003606,1,P,8973.851,0.84912646,P,5904.551,1,P,6433.129,0.88568777,P,4086.572,1,P,3833.586,0.8478674,P,4335.072,1.0852782,P,6753.275,0.9835928,P,6024.147,,ytfG,NAD(P)H:quinone oxidoreductase,,chr:4431246-4431187,948731,b4211
A_07_P011215,1,P,13106.3,0.8032255,P,8157.428,1,P,11737.22,0.6188331,P,5209.488,1,P,5506.568,0.77163774,P,5667.057,0.69056493,P,5495.179,0.89663064,P,7022.597,,phnM,carbon-phosphorus lyase complex subunit,GO:0006793(phosphorus metabolic process)|GO:0009274(peptidoglycan-based cell wall)|GO:0019866(organelle inner membrane),chr:4314703-4314644,948613,b4095
A_07_P003602,0.99999994,P,11279.2,0.8532399,P,7457.36,1,P,8879.655,0.87976027,P,5602.949,1,P,5063.968,0.65708154,P,4437.857,1.018332,P,7967.17,0.8936654,P,6881.711,,ytfF,predicted inner membrane protein,,chr:4430173-4430114,948732,b4210
A_07_P054359,1,P,1562.267,0.4086076,P,494.6492,0.99999994,P,1207.451,0.33205026,P,287.5608,0.99999994,P,646.5282,0.31860527,P,274.7284,0.06308608,A,27.7435,0.16801497,P,72.72481,,ECs2142,hypothetical protein,,,917345,ECs2142
A_07_P003600,1,P,4568.058,0.7406987,P,2621.856,1,P,3408.548,0.7649819,P,1870.152,1,P,1769.173,0.790585,P,1865.443,1.0062091,P,2805.152,0.9937909,P,2726.905,,ytfE,predicted regulator of cell morphogenesis and cell wall metabolism,,chr:4429422-4429363,948724,b4209
A_07_P046747,1,P,1584.475,1.1952804,P,1467.543,1,P,901.2312,1.0247349,P,662.3751,1,P,304.4686,1.5615522,P,634.1063,0.34203908,P,302.9092,0.5603796,P,488.4566,,Z1137,hypothetical protein,,,958553,Z1137
A_07_P046745,1,P,4783.098,0.9022681,P,3344.11,1,P,2634.297,0.689389,P,1302.523,1,P,732.6031,1.0997704,P,1074.568,0.37960505,P,623.5862,0.8020566,P,1296.81,,Z1136,hypothetical protein,,,958547,Z1136
A_07_P054352,1,P,7879.237,0.786984,P,4804.915,1,P,6958.423,0.7346411,P,3666.421,1,P,2187.403,1.0075377,P,2939.363,0.6180008,P,2964.528,1.0171399,P,4802.353,,ECs2140,O-acetylserine/cysteine export protein,,,917338,ECs2140
A_07_P042386,1,P,9131.902,1.1138734,P,7881.932,1,P,7932.234,1.1428663,P,6502.003,1,P,4443.224,1.0886893,P,6451.568,0.8354161,P,6488.082,0.97825986,P,7477.813,,sppA,protease 4,,,1036606,c_2170
A_07_P011208,0.99999994,P,11837.54,0.85118216,P,7807.638,1,P,9325.654,0.75142604,P,5025.992,1,P,3976.594,0.66027695,P,3501.874,0.7459194,P,5618.455,1.0956361,P,8122.658,,phnN,"ribose 1,5-bisphosphokinase",GO:0005737(cytoplasm)|GO:0006793(phosphorus metabolic process),chr:4313904-4313845,948608,b4094
A_07_P011203,0.99999994,P,12075.76,0.77550375,P,7256.614,1,P,8598.403,0.7571895,P,4669.589,1,P,4019.376,0.72998726,P,3913.245,0.82070976,P,5573.265,0.95145667,P,6359.397,,phnO,predicted acyltransferase with acyl-CoA N-acyltransferase domain,,chr:4313366-4313307,948599,b4093
A_07_P058702,1,P,4312.804,0.9309681,P,3111.216,1,P,1897.152,0.6831769,P,929.5902,1,P,1180.816,1.1102068,P,1748.434,0.2918379,P,596.164,0.923838,P,1857.491,,ECs1975,hypothetical protein,,,917175,ECs1975
A_07_P046737,0.99999994,P,2969.585,1.1070266,P,2547.355,1,P,1414.89,1.0619056,P,1077.618,1,P,686.2747,1.2373617,P,1132.551,0.33810553,P,484.8781,0.57678777,P,814.1477,,Z1135,putative complement resistance protein,,,958544,Z1135
A_07_P054346,1,P,4134.037,1.0895144,P,3490.141,1,P,3302.878,0.9722116,P,2303.083,1,P,1350.415,1.0740049,P,1934.357,0.79174596,P,2434.777,0.9778628,P,2959.771,,ECs2139,hypothetical protein,,,917340,ECs2139
A_07_P046735,1,P,13057.08,0.9069284,P,9176.027,0.99999994,P,4568.229,0.85322195,P,2795.543,1,P,2904.908,1.4046216,P,5441.954,3.5213938,P,22897.24,0.7333995,P,4693.707,,Z1134,unknown in IS600,,,958543,Z1134
A_07_P054344,1,P,17127.96,1.1022216,P,14628.85,1,P,15389.77,0.9234496,P,10192.99,1,P,7953.396,1.1106856,P,11781.67,0.8030049,P,11373.16,0.89879537,P,12529.41,,ECs2136,multiple drug resistance protein MarC,,,917334,ECs2136
A_07_P034767,1,P,11315.87,1.1373203,P,9972.554,1,P,10177.45,1.027421,P,7499.697,1,P,3480.222,1.2686448,P,5888.573,0.80214906,P,7057.039,1.022023,P,8849.83,,,,,,,c_1809
A_07_P034765,1,P,1381.076,0.08564111,P,91.65065,1,P,1227.442,0.4452835,P,392.007,1,P,309.0655,0.28051043,P,115.6279,0.5273042,P,273.2427,0.9630233,P,491.1691,,,,,,,c_1800
A_07_P042371,1,P,9494.461,1.0678656,P,7856.381,1,P,6911.801,1.0857674,P,5382.503,1,P,3599.55,1.014686,P,4871.279,0.9839211,P,6990.549,1.0841681,P,7581.488,,,,,,,c_2155
A_07_P054336,1,P,6914.913,1.2832925,P,6876.193,1,P,5189.591,1.3577379,P,5053.652,1,P,3130.733,1.2808244,P,5348.09,1.0452654,P,6381.304,0.8497072,P,5105.743,,ECs2134,hypothetical protein,,,917337,ECs2134
A_07_P046726,1,P,21214.94,1.0826733,P,17798.15,1,P,12618.88,1.5216702,P,13772.02,1,P,9068.895,1.0871872,P,13149.88,0.8859285,P,14624.25,0.86149395,P,13996.97,,Z1133,partial putative transposase,,,958542,Z1133
A_07_P046723,1,P,5940.074,1.0597795,P,4878.014,1,P,5276.66,1.029461,P,3896.057,1,P,2832.7,0.8394029,P,3171.277,0.62580776,P,3120.969,1.0819881,P,5311.019,,Z1132,unknown protein encoded in ISEc8,,,958538,Z1132
A_07_P054332,1,P,12039.3,1.3161486,P,12278.4,1,P,10384.31,1.1728315,P,8735.132,1,P,5562.721,1.3230412,P,9815.756,0.97593606,P,11025.17,1.024064,P,11386.7,,ECs2133,putative transcriptional regulator LYSR-type,,,917333,ECs2133
A_07_P042367,1,P,10055.9,1.0882754,P,8479.991,1,P,7531.113,1.0909293,P,5892.668,1,P,3838.926,1.1565814,P,5921.736,1.00663,P,8185.276,1.093666,P,8752.961,,,,,,,c_2146
A_07_P034756,1,P,8680.11,1.1699702,P,7869.292,1,P,8350.705,1.0139979,P,6073.184,1,P,3526.088,1.2376943,P,5820.625,0.8072599,P,6014.182,0.96355814,P,7065.582,,ycjW,Hypothetical transcriptional regulator ycjW,,,1035578,c_1792
A_07_P034753,1,P,4971.581,1.112876,P,4287.232,1,P,3697.503,1.0703156,P,2838.42,0.99999994,P,1797.906,1.083835,P,2598.922,0.9228347,P,3421.542,1.2100939,P,4415.947,,ycjP,Hypothetical ABC transporter permease protein ycjP,,,1035570,c_1784
A_07_P034750,1,P,1401.754,1.0342958,P,1123.446,1,P,1040.168,1.0885215,P,812.0762,1,P,423.5573,1.3798748,P,779.498,1.0223635,P,1119.728,1.0189998,P,1098.47,,ycjN,Putative ABC transporter Periplasmic binding protein ycjN precursor,,,1035568,c_1782
A_07_P030399,1,P,2216.715,0.6993019,P,1201.186,1,P,2343.566,0.5034052,P,846.1575,1,P,1422.174,0.56038904,P,1062.932,0.45932573,P,611.4539,0.5496161,P,720.1272,,,,,,,c_3173
A_07_P030394,1,P,1103.51,0.47440016,P,405.6549,1,P,1408.404,0.3009911,P,304.0445,1,P,616.1533,0.33540317,P,275.6253,0.16801018,P,68.44865,0.20850089,P,83.60728,,,,,,,c_3172
A_07_P030390,1,P,2911.753,0.45224738,P,1020.39,1,P,3433.653,0.29081798,P,716.1993,1,P,1554.767,0.26483184,P,549.1596,0.11483771,P,113.8605,0.27822736,P,271.5159,,,,,,,c_3171
A_07_P054329,0.99999994,P,3533.154,1.0201313,P,2792.893,0.99999994,P,2520.76,1.1240668,P,2032.263,1,P,1394.813,1.0795963,P,2008.355,0.8433535,P,2227.795,0.9331689,P,2426.234,,ECs2119,putative SORC-type transcriptional regulator,,,917323,ECs2119
A_07_P046719,1,P,8895.303,1.282903,P,8842.808,1,P,9315.446,1.111065,P,7423.341,1,P,5549.854,0.7269201,P,5380.608,0.8129791,P,7249.873,1.3537837,P,11882.48,,Z1131,unknown protein encoded in ISEc8,,,958535,Z1131
A_07_P054324,1,P,13773.08,1.2050517,P,12860.93,1,P,12882.9,1.2845505,P,11869.19,0.99999994,P,5392.274,1.3185279,P,9482.534,0.77735204,P,8975.232,0.8580878,P,9751.39,,,,,,,ECs2114
A_07_P046715,1,P,6714.373,1.0339205,P,5379.331,1,P,3755.681,0.7696301,P,2073.132,0.99999994,P,1295.211,1.2210419,P,2109.28,0.32985196,P,954.2835,0.64967304,P,1849.95,,Z1130,hypothetical protein,,,958531,Z1130
